"KALLAPPANNA AWADE ICHALKARANJI JANATA SAHAKARI BA	"
"THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED	"
"CAPITAL LOCAL AREA BANK LIMITED	"
"CITIZEN CREDIT COOPERATIVE BANK LIMITED	"
"THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED	"
"SOLAPUR JANATA SAHAKARI BANK LIMITED	"
"KALYAN JANATA SAHAKARI BANK	"
"SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE	"
"JALGAON JANATA SAHAKARI BANK LIMITED	"
"THE JALGAON PEOPELS COOPERATIVE BANK LIMITED	"
"AKOLA JANATA COMMERCIAL COOPERATIVE BANK	"
"ZILA SAHAKRI BANK LIMITED GHAZIABAD	"
"PRIME COOPERATIVE BANK LIMITED	"
"AHMEDABAD MERCANTILE COOPERATIVE BANK	"
IDFC BANK LIMITED
"JANASEVA SAHAKARI BANK LIMITED	"
"NEW INDIA COOPERATIVE BANK LIMITED	"
"THE VISHWESHWAR SAHAKARI BANK LIMITED	"
"RESERVE BANK OF INDIA	"
"THE TAMIL NADU STATE APEX COOPERATIVE BANK	"
"THE ROYAL BANK OF SCOTLAND N V	"
"JANAKALYAN SAHAKARI BANK LIMITED	"
TUMKUR GRAIN MERCHANTS COOPERATIVE BANK LIMITED
"THE SURATH PEOPLES COOPERATIVE BANK LIMITED	"
"THE THANE BHARAT SAHAKARI BANK LIMITED	"
"DEUSTCHE BANK	"
"THE GREATER BOMBAY COOPERATIVE BANK LIMITED	"
"THE MUNICIPAL COOPERATIVE BANK LIMITED	"
NUTAN NAGARIK SAHAKARI BANK LIMITED
"THE ZOROASTRIAN COOPERATIVE BANK LIMITED	"
"TJSB SAHAKARI BANK LIMITED	"
"THE VARACHHA COOPERATIVE BANK LIMITED	"
"VASAI VIKAS SAHAKARI BANK LIMITED	"
"SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED	"
"KAPOL COOPERATIVE BANK LIMITED	"
"SUTEX COOPERATIVE BANK LIMITED	"
"THE HASTI COOP BANK LTD	"
"JANASEVA SAHAKARI BANK BORIVLI LIMITED	"
"RAJGURUNAGAR SAHAKARI BANK LIMITED	"
"SURAT NATIONAL COOPERATIVE BANK LIMITED	"
"DEVELOPMENT BANK OF SINGAPORE	"
"THE KANGRA COOPERATIVE BANK LIMITED	"
"B N P PARIBAS	"
MIZUHO CORPORATE BANK LIMITED
"SHINHAN BANK	"
"BANK OF TOKYO MITSUBISHI LIMITED	"
"CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK CAL	"
"BANK OF AMERICA	"
"BANK OF BAHARAIN AND KUWAIT BSC	"
THE BANK OF NOVA SCOTIA
"BARCLAYS BANK	"
"SOCIETE GENERALE	"
"CHINATRUST COMMERCIAL BANK LIMITED	"
"ABU DHABI COMMERCIAL BANK	"
"SHIKSHAK SAHAKARI BANK LIMITED	"
"BANK OF CEYLON	"
"DOHA BANK	"
FIRSTRAND BANK LIMITED
"DEPOSIT INSURANCE AND CREDIT GUARANTEE CORPORATIO	"
"CREDIT SUISEE AG	"
"INDUSTRIAL BANK OF KOREA	"
"WOORI BANK	"
"WESTPAC BANKING CORPORATION	"
"COMMONWEALTH BANK OF AUSTRALIA	"
"MASHREQBANK PSC	"
"SBM BANK MAURITIUS LIMITED	"
RABOBANK INTERNATIONAL
"EXPORT IMPORT BANK OF INDIA	"
"JP MORGAN BANK	"
"THE GADCHIROLI DISTRICT CENTRAL COOPERATIVE BANK 	"
"AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED	"
"RAJKOT NAGRIK SAHAKARI BANK LIMITED	"
"BANK INTERNASIONAL INDONESIA	"
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED	"
"THE SEVA VIKAS COOPERATIVE BANK LIMITED	"
"UNITED OVERSEAS BANK LIMITED	"
SBER BANK
"NATIONAL AUSTRALIA BANK LIMITED	"
"DOHA BANK QSC	"
"NATIONAL BANK OF ABU DHABI PJSC	"
"SUMITOMO MITSUI BANKING CORPORATION	"
ADITYA BIRLA IDEA PAYMENTS BANK
AHMEDNAGAR MERCHANTS CO-OP BANK LTD
AIRTEL PAYMENTS BANK LIMITED
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH
ANDHRA PRADESH GRAMEENA VIKAS BANK
AU SMALL FINANCE BANK LIMITED
BHAGINI NIVEDITA SAHAKARI BANK LTD PUNE
